,Student ID,Gender,Student's Avg Score,Passed Subjects
0,1,Female,81.3,6.0
7,2,Male,76.4,4.0
14,3,Female,80.3,5.0
21,4,Male,83.4,5.0
28,5,Female,88.0,6.0
35,6,Female,75.3,3.0
42,7,Female,81.9,4.0
49,8,Male,82.4,6.0
56,9,Female,80.6,5.0
63,10,Male,76.9,3.0
70,11,Genderqueer,84.6,5.0
77,12,Female,89.6,7.0
84,13,Male,79.3,5.0
91,14,Male,85.1,5.0
98,15,Male,77.9,4.0
105,16,Male,89.4,7.0
112,17,Male,83.4,5.0
119,18,Female,79.4,5.0
126,19,Female,79.3,6.0
133,20,Female,82.3,6.0
140,21,Genderfluid,81.3,4.0
147,22,Male,84.0,6.0
154,23,Bigender,88.0,7.0
161,24,Male,86.3,5.0
168,25,Female,85.1,6.0
175,26,Male,78.7,4.0
182,27,Female,76.1,4.0
189,28,Female,76.1,3.0
196,29,Female,80.3,5.0
203,30,Male,69.4,1.0
210,31,Female,74.0,4.0
217,32,Female,77.4,3.0
224,33,Male,75.7,3.0
231,34,Genderqueer,76.6,4.0
238,35,Genderfluid,88.1,6.0
245,36,Genderqueer,77.7,4.0
252,37,Male,82.3,4.0
259,38,Male,76.7,3.0
266,39,Female,72.9,2.0
273,40,Female,75.1,3.0
280,41,Female,75.4,4.0
287,42,Male,86.7,5.0
294,43,Male,86.3,7.0
301,44,Female,82.4,5.0
308,45,Male,81.6,5.0
315,46,Female,81.1,4.0
322,47,Male,83.6,6.0
329,48,Female,77.6,5.0
336,49,Female,82.6,5.0
343,50,Male,74.7,4.0
350,51,Female,84.9,6.0
357,52,Male,78.7,5.0
364,53,Male,77.3,3.0
371,54,Female,83.9,5.0
378,55,Female,83.9,5.0
385,56,Male,89.7,6.0
392,57,Male,86.6,6.0
399,58,Polygender,84.3,7.0
406,59,Male,73.4,2.0
413,60,Male,70.4,3.0
420,61,Male,73.9,3.0
427,62,Male,77.6,4.0
434,63,Male,87.1,5.0
441,64,Female,74.6,4.0
448,65,Female,89.4,7.0
455,66,Male,82.0,5.0
462,67,Polygender,76.6,4.0
469,68,Male,79.0,5.0
476,69,Female,80.0,5.0
483,70,Male,80.7,5.0
490,71,Male,80.1,6.0
497,72,Male,75.0,3.0
504,73,Female,72.1,3.0
511,74,Female,76.7,3.0
518,75,Female,74.3,2.0
525,76,Male,79.7,3.0
532,77,Female,80.6,4.0
539,78,Female,77.0,3.0
546,79,Genderfluid,76.1,3.0
553,80,Male,88.6,7.0
560,81,Bigender,78.1,4.0
567,82,Female,79.4,3.0
574,83,Female,77.6,4.0
581,84,Male,86.4,6.0
588,85,Female,81.9,6.0
595,86,Female,82.6,5.0
602,87,Male,77.1,5.0
609,88,Male,75.3,4.0
616,89,Male,86.4,6.0
623,90,Bigender,82.6,4.0
630,91,Male,76.1,3.0
637,92,Female,78.6,4.0
644,93,Female,72.7,3.0
651,94,Male,79.4,5.0
658,95,Female,75.7,4.0
665,96,Male,85.9,5.0
672,97,Bigender,79.4,4.0
679,98,Male,74.0,3.0
686,99,Female,84.6,5.0
693,100,Male,83.1,7.0
700,101,Female,83.9,6.0
707,102,Male,86.4,7.0
714,103,Female,72.6,3.0
721,104,Female,77.7,5.0
728,105,Male,82.7,5.0
735,106,Male,77.0,4.0
742,107,Female,80.4,5.0
749,108,Female,73.6,2.0
756,109,Female,73.3,3.0
763,110,Male,74.1,4.0
770,111,Female,76.1,4.0
777,112,Male,80.1,5.0
784,113,Female,81.6,4.0
791,114,Male,81.0,5.0
798,115,Polygender,76.3,4.0
805,116,Male,80.4,3.0
812,117,Female,82.3,5.0
819,118,Male,65.7,0.0
826,119,Genderfluid,82.6,4.0
833,120,Female,78.0,4.0
840,121,Polygender,71.9,2.0
847,122,Female,78.3,5.0
854,123,Female,81.7,5.0
861,124,Male,80.7,5.0
868,125,Female,82.3,6.0
875,126,Male,71.1,2.0
882,127,Bigender,79.7,5.0
889,128,Female,80.9,4.0
896,129,Female,81.1,4.0
903,130,Male,88.3,7.0
910,131,Male,84.0,4.0
917,132,Female,82.3,5.0
924,133,Female,74.9,4.0
931,134,Male,82.0,5.0
938,135,Female,80.3,4.0
945,136,Male,79.3,4.0
952,137,Female,79.9,4.0
959,138,Female,80.1,4.0
966,139,Female,79.0,4.0
973,140,Female,76.1,4.0
980,141,Polygender,82.9,5.0
987,142,Female,73.7,3.0
994,143,Male,78.1,4.0
1001,144,Female,81.0,4.0
1008,145,Female,88.7,7.0
1015,146,Female,84.3,5.0
1022,147,Male,85.6,6.0
1029,148,Genderfluid,69.1,2.0
1036,149,Female,86.4,6.0
1043,150,Male,77.6,3.0
1050,151,Female,87.6,7.0
1057,152,Female,75.0,4.0
1064,153,Polygender,76.0,4.0
1071,154,Female,75.7,4.0
1078,155,Female,76.7,5.0
1085,156,Female,84.3,6.0
1092,157,Male,78.3,4.0
1099,158,Male,69.6,1.0
1106,159,Female,85.7,6.0
1113,160,Male,68.3,2.0
1120,161,Bigender,84.6,5.0
1127,162,Male,82.4,5.0
1134,163,Male,85.0,6.0
1141,164,Male,82.1,4.0
1148,165,Male,80.3,5.0
1155,166,Male,80.7,5.0
1162,167,Female,74.4,4.0
1169,168,Female,80.6,5.0
1176,169,Polygender,87.0,6.0
1183,170,Male,80.6,4.0
1190,171,Male,77.0,4.0
1197,172,Male,73.9,3.0
1204,173,Male,77.7,4.0
1211,174,Female,72.6,2.0
1218,175,Female,80.9,5.0
1225,176,Female,83.7,5.0
1232,177,Male,75.3,3.0
1239,178,Female,75.3,4.0
1246,179,Non-binary,78.1,4.0
1253,180,Female,86.9,7.0
1260,181,Male,76.7,4.0
1267,182,Male,80.7,5.0
1274,183,Male,75.4,3.0
1281,184,Male,85.0,5.0
1288,185,Female,85.1,6.0
1295,186,Bigender,73.4,2.0
1302,187,Female,84.0,5.0
1309,188,Female,84.6,5.0
1316,189,Male,75.9,3.0
1323,190,Genderqueer,79.9,4.0
1330,191,Male,81.4,5.0
1337,192,Male,78.3,3.0
1344,193,Male,83.4,4.0
1351,194,Male,85.3,6.0
1358,195,Genderfluid,79.4,4.0
1365,196,Male,83.0,4.0
1372,197,Male,86.7,6.0
1379,198,Female,83.9,5.0
1386,199,Genderqueer,74.6,3.0
1393,200,Male,75.9,3.0
1400,201,Male,85.0,6.0
1407,202,Female,81.3,4.0
1414,203,Male,90.1,6.0
1421,204,Non-binary,77.4,4.0
1428,205,Female,74.4,2.0
1435,206,Male,83.0,5.0
1442,207,Male,77.0,4.0
1449,208,Female,78.6,3.0
1456,209,Female,84.3,4.0
1463,210,Female,80.3,4.0
1470,211,Male,73.4,2.0
1477,212,Male,80.6,6.0
1484,213,Male,77.0,5.0
1491,214,Female,80.9,4.0
1498,215,Female,71.1,3.0
1505,216,Non-binary,82.6,5.0
1512,217,Male,73.1,2.0
1519,218,Female,84.6,6.0
1526,219,Bigender,80.6,5.0
1533,220,Female,87.3,6.0
1540,221,Male,77.9,5.0
1547,222,Male,78.4,3.0
1554,223,Female,79.7,3.0
1561,224,Male,75.1,3.0
1568,225,Male,84.0,5.0
1575,226,Female,78.9,4.0
1582,227,Male,83.9,6.0
1589,228,Female,82.1,6.0
1596,229,Male,82.7,5.0
1603,230,Female,79.7,4.0
1610,231,Male,76.3,5.0
1617,232,Female,81.3,6.0
1624,233,Female,80.3,3.0
1631,234,Female,70.7,3.0
1638,235,Female,82.9,5.0
1645,236,Female,83.9,6.0
1652,237,Female,80.7,4.0
1659,238,Female,85.0,5.0
1666,239,Non-binary,76.7,3.0
1673,240,Male,83.4,5.0
1680,241,Male,81.9,5.0
1687,242,Male,79.1,4.0
1694,243,Male,83.7,5.0
1701,244,Female,80.1,4.0
1708,245,Male,79.4,4.0
1715,246,Male,73.1,3.0
1722,247,Female,77.1,3.0
1729,248,Male,73.1,3.0
1736,249,Male,73.9,3.0
1743,250,Male,75.0,2.0
1750,251,Female,76.7,4.0
1757,252,Female,84.3,4.0
1764,253,Male,80.4,4.0
1771,254,Female,77.0,4.0
1778,255,Female,81.6,5.0
1785,256,Female,77.9,5.0
1792,257,Male,75.9,3.0
1799,258,Male,75.6,4.0
1806,259,Female,87.1,6.0
1813,260,Female,85.4,5.0
1820,261,Female,78.1,4.0
1827,262,Male,83.9,5.0
1834,263,Male,82.6,5.0
1841,264,Male,74.9,4.0
1848,265,Male,78.7,4.0
1855,266,Male,85.9,6.0
1862,267,Female,87.4,7.0
1869,268,Male,80.1,4.0
1876,269,Female,81.0,5.0
1883,270,Male,78.4,4.0
1890,271,Female,82.3,4.0
1897,272,Female,87.1,6.0
1904,273,Female,79.6,6.0
1911,274,Female,81.6,4.0
1918,275,Male,81.4,5.0
1925,276,Male,79.0,4.0
1932,277,Female,74.4,4.0
1939,278,Male,76.3,4.0
1946,279,Male,81.1,5.0
1953,280,Non-binary,82.4,6.0
1960,281,Female,79.6,5.0
1967,282,Male,86.3,6.0
1974,283,Female,71.9,2.0
1981,284,Male,80.0,4.0
1988,285,Male,82.6,5.0
1995,286,Male,72.3,1.0
2002,287,Female,80.7,4.0
2009,288,Male,81.3,5.0
2016,289,Male,88.1,6.0
2023,290,Female,77.9,3.0
2030,291,Female,78.4,6.0
2037,292,Agender,74.3,4.0
2044,293,Male,68.7,1.0
2051,294,Female,82.9,6.0
2058,295,Female,84.9,4.0
2065,296,Male,79.7,4.0
2072,297,Male,80.3,4.0
2079,298,Female,86.6,7.0
2086,299,Female,82.3,4.0
2093,300,Female,88.7,6.0
2100,301,Female,75.9,3.0
2107,302,Male,84.3,5.0
2114,303,Female,84.0,6.0
2121,304,Agender,70.6,2.0
2128,305,Male,80.6,5.0
2135,306,Male,76.1,3.0
2142,307,Male,87.7,6.0
2149,308,Male,74.1,3.0
2156,309,Female,79.1,5.0
2163,310,Genderfluid,81.4,6.0
2170,311,Male,78.6,5.0
2177,312,Male,82.7,6.0
2184,313,Male,87.0,7.0
2191,314,Female,84.6,5.0
2198,315,Male,77.1,5.0
2205,316,Male,81.0,5.0
2212,317,Female,74.7,4.0
2219,318,Male,84.1,7.0
2226,319,Female,81.3,5.0
2233,320,Female,80.6,4.0
2240,321,Bigender,88.4,6.0
2247,322,Female,83.1,5.0
2254,323,Male,85.3,6.0
2261,324,Female,76.6,3.0
2268,325,Male,83.7,5.0
2275,326,Genderfluid,84.3,5.0
2282,327,Male,74.6,3.0
2289,328,Female,84.1,6.0
2296,329,Female,81.0,5.0
2303,330,Male,78.6,4.0
2310,331,Female,75.4,3.0
2317,332,Bigender,70.6,1.0
2324,333,Female,81.6,5.0
2331,334,Male,71.0,2.0
2338,335,Male,80.4,5.0
2345,336,Male,81.6,5.0
2352,337,Female,86.1,5.0
2359,338,Female,74.4,4.0
2366,339,Female,84.0,6.0
2373,340,Male,81.9,6.0
2380,341,Female,83.0,5.0
2387,342,Male,76.4,3.0
2394,343,Male,76.6,3.0
2401,344,Female,82.3,5.0
